,Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings,COVID beta,SPY_beta,S&P500
280,LEN,Lennar Corp.,Consumer Discretionary,59.11,15.35,0.26268265,3.38,72.17,43.647053,14615967194,1405319000.0,1.1468264,1.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEN,-0.037544597114206595,1.2517713999275042,S&P500
275,LB,L Brands Inc.,Consumer Discretionary,47.77,12.77,4.886988,3.98,63.1,35.0,13862042842,2329000000.0,1.7060977,1403.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LB,-0.03536595462918194,1.4609993532939547,S&P500
269,KIM,Kimco Realty,Real Estate,14.01,9.28,7.713498599999999,0.8,25.15,14.33,6180487499,701190000.0,7.0508942999999995,1.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM,-0.03293056541309831,1.2394238236317108,S&P500
115,CFG,Citizens Financial Group,Financials,42.19,16.04,1.9625335,3.27,48.23,31.51,22008050974,0.0,3.3917346,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG,-0.03238322668258034,1.5521704491411972,S&P500
380,PHM,Pulte Homes Inc.,Consumer Discretionary,28.67,12.86,1.2036108,1.44,35.21,21.06,8792572352,992811000.0,1.0341544,1.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM,-0.03208002738278349,1.2993837706475275,S&P500
270,KMI,Kinder Morgan,Energy,16.8,25.07,2.891845,0.01,22.75,16.56,38612712234,5981000000.0,2.8239360000000002,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI,-0.03183224522324732,1.0623017057789346,S&P500
168,EMR,Emerson Electric Company,Industrials,66.4,25.74,2.813225,2.35,74.45,56.77,44040298425,2542000000.0,3.6707752,5.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR,-0.031035360920482293,1.1197327761023537,S&P500
491,WHR,Whirlpool Corp.,Consumer Discretionary,164.95,11.77,2.5652986,4.51,202.99,158.8,12177920000,1842000000.0,0.58064795,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WHR,-0.03088312940650026,1.3291795222913638,S&P500
293,MPC,Marathon Petroleum,Energy,62.79,16.06,2.8268552000000002,6.85,73.53,47.39,31633740000,5978000000.0,0.42713487,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC,-0.029999831516122222,1.5491239035162798,S&P500
196,FLS,Flowserve Corporation,Industrials,40.82,26.17,1.8291216000000001,1.12,51.92,37.51,5427884956,463066000.0,2.0803037,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FLS,-0.02975968459035388,1.167568335376047,S&P500
98,CNP,CenterPoint Energy,Utilities,25.85,19.73,4.2109255999999995,1.0,30.45,25.51,11362043297,2337000000.0,1.6262617,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP,-0.02713147212375979,1.2562456817377856,S&P500
284,LKQ,LKQ Corporation,Consumer Discretionary,38.86,21.35,0.0,1.5,43.8599,27.85,12469931896,1065614000.0,1.723609,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LKQ,-0.02690816199168261,1.3122157741169787,S&P500
125,CXO,Concho Resources,Energy,140.09,84.39,0.0,-11.04,162.91,106.73,22021882339,2151190000.0,12.271951,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CXO,-0.026566594029823167,1.2153153456140335,S&P500
112,CTAS,Cintas Corporation,Industrials,149.32,32.75,1.0344826999999999,4.38,169.96,113.79,16676145923,1097295000.0,2.7614057,6.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS,-0.02634409349027191,1.1597569007306459,S&P500
336,NBL,Noble Energy Inc,Energy,25.43,105.96,1.4771048999999998,-2.32,39.6,22.985,13177325251,-518000000.0,4.6976447,1.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NBL,-0.02486028505486566,1.6708503449676826,S&P500
415,SLG,SL Green Realty,Real Estate,90.61,14.07,3.4998921999999997,0.88,115.34,91.2,8617714345,795889000.0,6.5820084,1.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG,-0.024855605407227494,1.446403856863081,S&P500
267,KEY,KeyCorp,Financials,20.08,14.66,1.9876952,1.12,22.22,16.28,22589744920,0.0,3.270451,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEY,-0.02446588686332279,1.5976059833269283,S&P500
137,DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,1.0801469,2.73,53.32,29.3716,17390873686,1691000000.0,1.1931022,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHI,-0.024398452513502887,1.1532669704034397,S&P500
50,AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.8765620000000003,1.95,46.855,38.85,6156884142,874871000.0,6.187621,4.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIV,-0.02431644524435351,1.1440074838907235,S&P500
192,FITB,Fifth Third Bancorp,Financials,31.1,16.9,1.9789734,2.85,33.91,23.2,22437653700,0.0,2.8802847999999996,1.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB,-0.02391965972170854,1.603687949778897,S&P500
18,ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,5.66,144.99,90.35,11782151266,686030000.0,5.3666205,2.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB,-0.02383593410378604,1.1020807326094872,S&P500
288,LYB,LyondellBasell,Materials,105.79,10.35,3.264714,12.25,121.95,78.01,43556650000,6851000000.0,1.3037611999999998,5.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB,-0.023675445366839652,1.4405810239125807,S&P500
389,O,Realty Income Corporation,Real Estate,47.56,15.54,5.3720360000000005,1.12,63.6,48.89,13784942453,1075568000.0,15.588069,1.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O,-0.023597456624024158,1.1836570087459501,S&P500
426,SYF,Synchrony Financial,Financials,34.98,13.35,1.6,2.41,40.59,26.01,28893750000,0.0,2.1096623,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF,-0.023515501483424472,1.6170640146657693,S&P500
393,RF,Regions Financial Corp.,Financials,17.9,17.9,1.8987342,1.0,19.9,13.0,21500640000,0.0,3.474771,1.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF,-0.023228165294318707,1.45789589473871,S&P500
323,NOV,National Oilwell Varco Inc.,Energy,32.64,-77.71,0.5873715,-6.4,41.895,29.9,12940096785,353000000.0,2.5209634,0.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOV,-0.0230855041346655,1.5778022753760232,S&P500
255,IVZ,Invesco Ltd.,Financials,31.92,11.87,3.466826,2.74,38.43,29.36,13620847614,1606200000.0,2.6513786,1.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ,-0.023058177737641333,1.562737220748735,S&P500
200,F,Ford Motor,Consumer Discretionary,10.43,5.89,6.7843865999999995,1.9,13.48,10.19,42414328338,9281000000.0,0.27054095,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F,-0.022876709173270632,1.0706857562056533,S&P500
239,HBAN,Huntington Bancshares,Financials,15.1,15.41,2.8132992000000003,1.0,16.53,12.14,16766497291,0.0,3.5112102,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN,-0.022816977205098975,1.2332533973304387,S&P500
384,PWR,Quanta Services Inc.,Industrials,33.51,17.54,0.0,1.28,40.105,30.23,5330131216,649404000.0,0.77893436,1.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR,-0.0219483543574864,1.0336506442808118,S&P500
433,FTI,TechnipFMC,Energy,29.1,18.77,1.7060366999999999,0.0,35.0,24.53,14163064455,540167833.423084,1.561575,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTI,-0.021380588742550454,1.5771419034672407,S&P500
333,NLSN,Nielsen Holdings,Industrials,33.9,18.73,3.6208732000000006,1.39,45.73,34.22,13377670080,1836000000.0,2.7288197999999997,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NLSN,-0.021232080112079922,1.0654749055389967,S&P500
503,ZION,Zions Bancorp,Financials,50.71,17.73,1.480933,2.6,55.61,38.43,10670678640,0.0,3.7945792999999997,1.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZION,-0.02075611510579531,0.9713340172528584,S&P500
455,USB,U.S. Bancorp,Financials,52.65,15.35,2.189781,3.52,58.5,49.535,90940115897,0.0,3.7773547,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB,-0.020473956048845648,1.2714180252357206,S&P500
373,PFG,Principal Financial Group,Financials,60.38,11.96,3.1914895,4.5,75.585,58.9401,18457199721,0.0,1.7167546000000002,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG,-0.020251277805570133,1.4335339230020674,S&P500
289,MTB,M&T Bank Corp.,Financials,178.35,18.91,1.6218846000000002,8.69,193.85,141.12,27840827434,0.0,4.6277885,1.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTB,-0.020119716942618437,1.2183044235338754,S&P500
91,CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,2.6041667,3.58,72.7,54.75,49180044050,4711000000.0,2.8147783,2.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL,-0.02007882668612668,1.8774014829306895,S&P500
189,FRT,Federal Realty Investment Trust,Real Estate,108.11,18.35,3.5925992,3.5,143.79,109.74,8077368506,540767000.0,12.898601,3.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT,-0.020055081217117337,1.1500726109586015,S&P500
232,HOLX,Hologic,Health Care,38.8,19.21,0.0,2.64,46.8,35.76,11181493750,1561000000.0,4.80335,4.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX,-0.019933991414622945,0.8697728316660466,S&P500
296,MLM,Martin Marietta Materials,Materials,208.42,30.38,0.8042038,6.63,244.32,191.09,13756812736,975223000.0,4.416998,3.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MLM,-0.019849315596774834,1.0723077037402977,S&P500
265,KSU,Kansas City Southern,Industrials,103.53,19.8,1.3445379,9.16,114.85,81.54,11037040988,1295400000.0,4.281897,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU,-0.0197302726478458,1.088235938105668,S&P500
62,AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430,1331579000.0,10.251216000000001,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB,-0.019693595797618094,1.028842241930033,S&P500
209,GE,General Electric,Industrials,14.45,13.76,3.147541,-0.72,30.59,14.71,132249296250,-206000000.0,1.0887611000000001,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE,-0.019622962971670457,1.2015609262961016,S&P500
149,DISH,Dish Network,Consumer Discretionary,43.77,16.09,0.0,3.06,66.5,42.48,21032719056,2754331000.0,1.8521843,3.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DISH,-0.01949171430778312,1.4140419920482037,S&P500
212,GM,General Motors,Consumer Discretionary,40.75,6.58,3.5857513,6.0,46.76,31.92,61536606173,23541000000.0,0.5633218000000001,1.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM,-0.019407137684916552,1.2140937789225927,S&P500
40,AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,2.94,78.51,51.31,17139651923,1025763000.0,4.015368,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME,-0.019078068960887203,1.1496171018009376,S&P500
377,PRU,Prudential Financial,Financials,103.38,9.99,2.6985697999999996,9.73,127.14,97.88,47136080000,0.0,1.083727,0.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU,-0.01901931192244597,1.5653939120537599,S&P500
128,STZ,Constellation Brands,Consumer Staples,208.73,30.92,0.9712818000000001,8.71,229.5,152.01,41697453163,3033300000.0,5.145596,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ,-0.018910561725526825,0.8781743145644767,S&P500
88,COF,Capital One Financial,Financials,91.8,11.85,1.6306564,3.45,106.5,76.05,47637260000,0.0,1.5931405,0.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF,-0.018322391834393464,1.5819508340429633,S&P500
159,DXC,DXC Technology,Information Technology,91.92,79.93,0.7493755,-0.89,102.95,67.76,27408621020,1628000000.0,1.9598055,2.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DXC,-0.0180832202994249,1.9060378104575435,S&P500
367,PNC,PNC Financial Services,Financials,149.38,17.55,1.9354837999999999,10.4,160.07,115.25,73315000000,0.0,4.046530000000001,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC,-0.017913485156501235,1.323203967689233,S&P500
178,RE,Everest Re Group Ltd.,Financials,241.06,27.24,2.1078234,23.71,277.17,208.81,10131892523,0.0,2.0991988,1.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RE,-0.017537793875044137,1.0407129967583375,S&P500
381,PVH,PVH Corp.,Consumer Discretionary,142.68,20.98,0.100529455,6.77,157.96,84.53,11478625926,1057500000.0,1.7617522,2.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH,-0.017457106789277477,1.6855856954013992,S&P500
161,EMN,Eastman Chemical,Materials,93.57,12.28,2.2630835,10.12,104.08,76.02,14226830813,2152000000.0,1.4904785,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN,-0.017427212196990192,1.0791955165550131,S&P500
66,BAC,Bank of America Corp,Financials,29.74,16.34,1.536,1.55,32.67,22.07,321478200969,0.0,3.2011874,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC,-0.017252009632601345,1.3621839217983494,S&P500
184,EXR,Extra Space Storage,Real Estate,77.56,18.12,3.879632,2.92,88.56,71.34,10133547517,717468000.0,12.204818,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR,-0.017028131686928363,0.6717486480267397,S&P500
490,WY,Weyerhaeuser Corp.,Real Estate,33.6,34.29,3.7079953999999997,0.77,37.89,30.9504,26070297960,1365000000.0,3.6396794000000003,2.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY,-0.01640729118118777,1.7085148084970456,S&P500
342,NRG,NRG Energy,Utilities,24.0,17.78,1.4195583999999999,-2.23,29.78,14.52,8030036023,1774000000.0,0.9933021000000001,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG,-0.016324016071984002,1.0105460698996422,S&P500
459,UA,Under Armour Class C,Consumer Discretionary,11.95,29.15,0.0,0.45,21.805,10.36,5366628950,399277000.0,1.4738787,2.5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA,-0.016264252359868055,1.159998545644792,S&P500
410,SRE,Sempra Energy,Utilities,103.36,19.14,3.1607263,5.45,122.975,100.63,26163862235,3763000000.0,3.1530299999999998,1.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE,-0.016243655785616273,1.017685564162086,S&P500
201,FTV,Fortive Corp,Industrials,69.14,25.05,0.39057052,2.46,76.68,54.8844,24916503061,1508300000.0,5.168267299999999,7.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV,-0.016100201624195423,1.0024896474973422,S&P500
458,UAA,Under Armour Class A,Consumer Discretionary,13.14,32.05,0.0,0.45,23.46,11.4,5856913571,399277000.0,1.602308,2.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAA,-0.015550714337290982,1.2739826843253719,S&P500
399,ROP,Roper Technologies,Industrials,259.4,27.57,0.61985797,9.38,290.415,191.22,27247789759,1555209000.0,5.9715905,4.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP,-0.015522851875552374,0.9591618009238135,S&P500
497,XRX,Xerox Corp.,Information Technology,29.8,8.87,3.207184,0.59,37.42,26.64,7938833340,1191000000.0,0.7877656,1.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRX,-0.015514751471628483,1.293354983564924,S&P500
48,AON,Aon plc,Financials,136.05,20.8,1.0245464,4.66,152.78,113.2201,35123123422,1858000000.0,3.4972682,6.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON,-0.015442096877633883,0.7522613289243364,S&P500
450,TDG,TransDigm Group,Industrials,283.0,23.76,0.0,7.92,321.38,203.72,15241203731,1635916000.0,4.268832,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG,-0.015375226889448472,1.2996759360962835,S&P500
176,ESS,"Essex Property Trust, Inc.",Real Estate,218.28,18.66,3.2138102,6.27,270.04,214.03,14383525286,1237886000.0,14.1830845,2.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS,-0.015371717167891494,1.0050157006166243,S&P500
105,CVX,Chevron Corp.,Energy,112.3,27.52,3.885853,4.85,133.88,102.55,218978820159,28877000000.0,1.6489863,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX,-0.015302922743007145,1.3310889940303587,S&P500
307,MGM,MGM Resorts International,Consumer Discretionary,33.5,29.65,1.2687428,1.92,38.41,25.15,19633674337,2680385000.0,2.2276719,3.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MGM,-0.014993353594555767,1.7772751828062843,S&P500
413,SPG,Simon Property Group Inc,Real Estate,152.18,13.56,5.0368075,6.25,187.35,150.15,48139839531,4411515000.0,8.754495,13.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG,-0.014665506912407943,1.4990718964507646,S&P500
107,CB,Chubb Limited,Financials,140.39,17.5,1.9251627,8.2,157.5,130.17,68424670566,0.0,2.0985637,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB,-0.014630640149051377,1.0056281042428938,S&P500
114,C,Citigroup Inc.,Financials,71.87,13.48,1.7068942999999999,-3.1,80.7,56.14,192709302000,0.0,2.1857585999999998,0.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C,-0.014494205823317672,1.5433049406223112,S&P500
343,NUE,Nucor Corp.,Materials,60.38,17.01,2.415766,4.1,70.48,51.67,20003317128,2648729000.0,0.99837583,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE,-0.01447520938493708,1.0982165151109968,S&P500
356,PNR,Pentair Ltd.,Industrials,66.67,18.89,2.03933,3.63,74.84,57.63,12466660892,863700000.0,2.5191512,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR,-0.014439537371037219,1.0911138723723937,S&P500
421,STT,State Street Corp.,Financials,98.54,15.35,1.6228749,5.23,114.27,75.27,38059113300,0.0,3.263072,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT,-0.014283023234911986,1.311673827912931,S&P500
250,IP,International Paper,Materials,56.05,15.57,3.2067509999999997,5.14,66.94,49.6,24465996443,3004000000.0,1.0738261,4.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP,-0.014169395019772494,1.1237867824450802,S&P500
117,CME,CME Group Inc.,Financials,153.04,32.15,3.6828613,11.94,163.0,114.8176,54423298745,2851800000.0,14.881806,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME,-0.014052599571629213,1.0183505155516668,S&P500
305,MET,MetLife Inc.,Financials,44.28,8.52,3.4587116,0.63,56.58,44.58,48679364276,0.0,1.0496864,0.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET,-0.013984346557428324,1.4230499858027852,S&P500
460,UNP,Union Pacific,Industrials,124.86,22.06,2.062655,13.52,143.05,101.06,101513290382,10169000000.0,4.8605075,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP,-0.01391231350295036,0.9860821891588747,S&P500
246,IR,Ingersoll-Rand PLC,Industrials,87.6,19.38,1.9739006999999997,5.07,97.67,77.26,22785450609,1987100000.0,1.6147361,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR,-0.013823721027156698,0.9706636885931491,S&P500
369,PPG,PPG Industries,Materials,110.3,18.73,1.5771488999999999,6.31,122.0697,99.57,29043337549,2585000000.0,1.9551051,4.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG,-0.013768245617619445,0.9245988488958101,S&P500
242,INFO,IHS Markit Ltd.,Industrials,43.73,26.19,0.0,1.0,49.19,37.82,17969275816,1018900000.0,5.0604,2.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INFO,-0.013410589633505625,1.003888485515637,S&P500
297,MAS,Masco Corp.,Industrials,40.7,22.12,0.98383695,1.47,46.445,31.29,13428792315,1179000000.0,2.308266,11.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS,-0.01335095070469442,0.954110461006535,S&P500
152,D,Dominion Energy,Utilities,73.31,20.42,4.5281997,4.91,85.3,71.59,47543571860,6428000000.0,3.7954214,2.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D,-0.013314158256335442,0.9287301693022428,S&P500
419,SWK,Stanley Black & Decker,Consumer Discretionary,152.86,20.57,1.5775635000000001,8.05,176.62,121.09,24496399600,2264600000.0,1.944325,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK,-0.013241068446344427,1.4667665854478977,S&P500
397,ROK,Rockwell Automation Inc.,Industrials,178.73,26.48,1.7692552,6.35,210.72,147.67,24123216432,1323200000.0,3.760594,10.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK,-0.013050491714356554,1.0938648156933777,S&P500
502,ZBH,Zimmer Biomet Holdings,Health Care,115.53,14.32,0.7948335999999999,9.01,133.49,108.17,24454698119,2007400000.0,3.1648953,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH,-0.012867204325537788,0.9201897408735193,S&P500
135,CMI,Cummins Inc.,Industrials,165.73,16.83,2.5008682999999996,8.23,194.18,143.8301,28669230787,2924000000.0,1.9406168000000001,3.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI,-0.012730418554944278,0.9197876171198998,S&P500
470,VAR,Varian Medical Systems,Health Care,112.82,29.93,0.0,2.69,130.29,77.73,10692681720,500600000.0,3.9652252,7.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR,-0.01268207769855442,0.9861901084327764,S&P500
162,ETN,Eaton Corporation,Industrials,79.41,17.08,2.9404557000000002,6.68,89.85,69.45,35961772000,4253000000.0,1.8161736000000002,2.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN,-0.01267592588905073,1.226112476027021,S&P500
492,WMB,Williams Cos.,Energy,28.56,48.41,4.0,-0.57,33.67,26.8188,24802396470,3955000000.0,4.2982845,3.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMB,-0.012663840035949534,1.1563377811343252,S&P500
456,UDR,UDR Inc,Real Estate,32.92,17.79,3.6686389999999998,1.08,40.71,33.31,9050154422,665141000.0,12.365829,3.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UDR,-0.012654322633433777,1.0203977159484592,S&P500
120,CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,1.0454783,2.54,79.28,54.76,45119684067,2946000000.0,3.9678397000000003,3.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH,-0.012624390742221521,1.1561130012078609,S&P500
504,ZTS,Zoetis,Health Care,71.51,32.8,0.68237203,1.65,80.13,52.0,35991109776,1734000000.0,9.280896,18.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZTS,-0.01256373658423224,0.9228507328907256,S&P500
